कृषि उपज,न्यूनतम,अधिकतम,औसत
गोलभेडा ठूलो(भारतीय) (केजी),रू ६०,रू ७०,रू ६५.००
गोलभेडा सानो(भारतीय) (के जी),रू २५,रू ३०,रू २७.६७
गोलभेडा सानो(तराई) (के जी),रू २०,रू २५,रू २२.३३
आलु रातो (के.जी.),रू ३२,रू ३८,रू ३५.००
आलु रातो(भारतीय) (के जी),रू ३२,रू ३४,रू ३३.००
प्याज सुकेको (भारतीय) (के.जी.),रू ६३,रू ६५,रू ६४.००
गाजर(लोकल) (के.जी.),रू ४०,रू ५०,रू ४५.००
गाजर(तराई) (केजी),रू २०,रू ३०,रू २५.००
बन्दा(लोकल) (के.जी.),रू १०,रू २०,रू १५.००
बन्दा(तराई) (केजी),रू १०,रू १५,रू १२.३३
बन्दा(नरिवल) (केजी),रू १०,रू १५,रू १२.३३
काउली स्थानिय (के.जी.),रू १०,रू १५,रू १२.३३
स्थानीय काउली(ज्यापु) (केजी),रू १५,रू २०,रू १७.६७
काउली तराई (के.जी.),रू १०,रू १५,रू १२.३३
मूला रातो (के.जी.),रू २०,रू २५,रू २२.३३
मूला सेतो(लोकल) (के.जी.),रू १५,रू २०,रू १७.६७
सेतो मूला(हाइब्रीड) (केजी),रू २०,रू २५,रू २२.६७
भन्टा लाम्चो (के.जी.),रू २०,रू ३०,रू २५.००
भन्टा डल्लो (के.जी.),रू ४०,रू ५०,रू ४५.००
मटरकोशा (के.जी.),रू ४०,रू ६०,रू ५०.००
घिउ सिमी(लोकल) (के.जी.),रू ४०,रू ५०,रू ४५.००
घिउ सिमी(हाइब्रीड) (केजी),रू ४०,रू ५०,रू ४५.००
घिउ सिमी(राजमा) (केजी),रू ६०,रू ७०,रू ६५.००
टाटे सिमी (के.जी.),रू ३०,रू ४०,रू ३५.००
तितो करेला (के.जी.),रू १००,रू १२०,रू ११०.००
लौका (के.जी.),रू ५०,रू ६०,रू ५५.००
फर्सी पाकेको (के.जी.),रू ४०,रू ५०,रू ४५.००
फर्सी हरियो(लाम्चो) (के.जी.),रू १०,रू २०,रू १५.००
हरियो फर्सी(डल्लो) (केजी),रू १०,रू २०,रू १५.००
सलगम (के.जी.),रू ९०,रू १००,रू ९५.००
भिण्डी (के.जी.),रू ९०,रू १००,रू ९५.००
सखरखण्ड (के.जी.),रू ६०,रू ७०,रू ६५.००
बरेला (के.जी.),रू ३०,रू ४०,रू ३५.००
पिंडालू (के.जी.),रू ८०,रू ९०,रू ८५.००
स्कूस (के.जी.),रू ३०,रू ४०,रू ३५.००
रायो साग (के.जी.),रू ८,रू १२,रू १०.००
पालूगो साग (के.जी.),रू ३०,रू ४०,रू ३५.००
चमसूरको साग (के.जी.),रू ३०,रू ४०,रू ३५.००
तोरीको साग (के.जी.),रू २०,रू २५,रू २२.३३
मेथीको साग (के.जी.),रू ३०,रू ४०,रू ३५.००
प्याज हरियो (के.जी.),रू ३०,रू ४०,रू ३५.००
बकूला (के.जी.),रू ६०,रू ७०,रू ६५.००
तरुल (के.जी.),रू ८०,रू ९०,रू ८५.००
च्याउ(कन्य) (के.जी.),रू ७०,रू ९०,रू ८०.००
च्याउ(डल्ले) (के जी),रू ३७०,रू ४००,रू ३८६.६७
ब्रोकाउली (के.जी.),रू २०,रू ३०,रू २५.००
चुकुन्दर (के.जी.),रू ७०,रू ८०,रू ७५.००
सजिवन (के.जी.),रू २४०,रू २५०,रू २४५.००
रातो बन्दा (के.जी.),रू ५०,रू ६०,रू ५५.००
जिरीको साग (के.जी.),रू ६०,रू ७०,रू ६५.००
ग्याठ कोबी (के.जी.),रू ८०,रू ९०,रू ८५.००
